CourseID,ReadStat,Rate1,Rate2,Rate3,Rate4,Rate5,Sum,NewEnrolled,UpdateDate,Upd_monthes,Orig_Price,Curr_Price,Discount,Time
857162, OK,8,21,74,252,620,975,14623, 12/2018,19,239.99,143.99,40, 2020-07-09 16:34:58 
1107524, OK,20,21,67,132,186,426,18255, 4/2017,39,779.99,467.99,40, 2020-07-09 16:35:03 
653846, OK,22,28,89,162,183,484,32106, 5/2017,38,779.99,467.99,40, 2020-07-09 16:35:05 
1090788, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 16:35:07 
1210652, OK,18,24,97,333,556,1028,14078, 11/2019,8,799.99,479.99,40, 2020-07-09 16:35:10 
306556, OK,16,27,152,494,785,1474,8073, 4/2018,27,359.99,215.99,40, 2020-07-09 16:35:12 
420652, OK,1,4,41,148,382,576,4902, 11/2015,56,139.99,83.99,40, 2020-07-09 16:35:14 
866460, OK,17,61,239,626,784,1727,57746, 12/2017,31,779.99,467.99,40, 2020-07-09 16:35:16 
949282, OK,46,90,227,538,680,1581,116690, 1/2017,42,779.99,467.99,40, 2020-07-09 16:35:18 
994740, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 16:35:20 
926206, OK,2,1,3,4,18,28,3408, 10/2016,45,779.99,467.99,40, 2020-07-09 16:35:22 
1075662, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 16:35:24 
606756, OK,3,9,36,89,145,282,2777, 12/2018,19,199.99,119.99,40, 2020-07-09 16:35:26 
1013314, OK,2,0,5,9,19,35,1957, 11/2019,8,399.99,239.99,40, 2020-07-09 16:35:28 
859422, OK,7,3,13,18,40,81,7006, 0/0, NaN ,159.99,95.99,40, 2020-07-09 16:35:30 
1035923, OK,20,22,60,162,257,521,2502, 3/2020,4,79.99,47.99,40, 2020-07-09 16:35:32 
1035940, OK,6,3,15,48,69,141,1438, 12/2017,31,199.99,119.99,40, 2020-07-09 16:35:34 
30911, OK,2,4,11,25,41,83,7806, 1/2017,42,199.99,119.99,40, 2020-07-09 16:35:35 
1063722, OK,3,2,5,11,10,31,1377, 0/0, NaN ,199.99,119.99,40, 2020-07-09 16:35:37 
125806, OK,4,6,17,44,53,124,6846, 11/2013,80,79.99,47.99,40, 2020-07-09 16:35:39 
1101204, OK,0,0,2,3,4,9,1104, 8/2017,35,79.99,47.99,40, 2020-07-09 16:35:41 
76052, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    ,62492, 0/0, NaN ,0,0,0, 2020-07-09 16:35:43 
886614, OK,8,35,197,1126,2827,4193,23522, 7/2020,0,439.99,263.99,40, 2020-07-09 16:35:45 
1241254, OK,44,64,457,2441,5193,8199,50321, 7/2020,0,579.99,347.99,40, 2020-07-09 16:35:47 
822444, OK,246,375,2425,10325,17745,31116,122050, 9/2019,10,799.99,479.99,40, 2020-07-09 16:35:49 
904462, OK,29,66,296,1502,3096,4989,17636, 7/2020,0,199.99,119.99,40, 2020-07-09 16:35:51 
1144726, OK,114,132,428,1239,2396,4309,25193, 4/2018,27,759.99,455.99,40, 2020-07-09 16:35:54 
970600, OK,60,101,677,3346,5985,10169,56304, 5/2020,2,439.99,263.99,40, 2020-07-09 16:35:56 
756150, OK,566,1064,7624,38161,76046,123461,399794, 7/2020,0,759.99,455.99,40, 2020-07-09 16:35:57 
80940, OK,43,60,377,1675,3300,5455,62172, 6/2020,1,579.99,347.99,40, 2020-07-09 16:35:59 
405282, OK,291,384,1613,4737,9571,16596,83726, 7/2020,0,799.99,479.99,40, 2020-07-09 16:36:01 
383204, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 16:36:03 
519442, OK,130,154,921,3237,6117,10559,68292, 6/2020,1,779.99,467.99,40, 2020-07-09 16:36:05 
714724, OK,64,178,1043,3596,4954,9835,45659, 5/2018,26,499.99,299.99,40, 2020-07-09 16:36:07 
791414, OK,5,7,34,96,224,366,2741, 1/2020,6,219.99,131.99,40, 2020-07-09 16:36:10 
661774, OK,8,16,56,187,305,572,3753, 10/2019,9,399.99,239.99,40, 2020-07-09 16:36:12 
597256, OK,1,0,2,11,14,28,3491, 4/2016,51,139.99,83.99,40, 2020-07-09 16:36:14 
380582, OK,36,83,296,556,606,1577,9950, 6/2020,1,599.99,359.99,40, 2020-07-09 16:36:16 
572268, OK,8,16,91,238,361,714,4471, 4/2016,51,99.99,59.99,40, 2020-07-09 16:36:18 
704582, OK,4,11,22,96,158,291,3093, 6/2020,1,639.99,383.99,40, 2020-07-09 16:36:20 
981600, OK,0,2,5,15,28,50,1800, 1/2017,42,119.99,71.99,40, 2020-07-09 16:36:22 
537282, OK,8,9,24,88,80,209,3392, 1/2016,54,99.99,59.99,40, 2020-07-09 16:36:24 
1204590, OK,15,23,90,237,309,674,5703, 6/2020,1,599.99,359.99,40, 2020-07-09 16:36:26 
128946, OK,98,147,745,1536,1960,4486,107518, 12/2018,19,79.99,47.99,40, 2020-07-09 16:36:28 
895040, OK,2,0,0,9,23,34,1774, 7/2016,48,199.99,119.99,40, 2020-07-09 16:36:30 
955194, OK,5,2,9,9,12,37,1951, 9/2016,46,79.99,47.99,40, 2020-07-09 16:36:32 
1000574, OK,66,105,416,1600,3481,5668,37931, 7/2020,0,599.99,359.99,40, 2020-07-09 16:36:34 
1200530, OK,27,37,206,786,1485,2541,15195, 7/2020,0,199.99,119.99,40, 2020-07-09 16:36:36 
995016, OK,82,179,1475,9893,27048,38677,128872, 7/2020,0,759.99,455.99,40, 2020-07-09 16:36:38 
