,course_id,title,url,is_paid,old_price,old_subscribers,num_reviews,num_lectures,level,duration,old_pub_date,subject,status,rating1,rating2,rating3,rating4,rating5,rating_tot,new_subscribers,new_pub_date,upd_month,new_price,curr_price,discount,timestamp,old_revenue,new_revenue,student_lect,lect_price,cum_new_subsc,cum_old_subsc,new_perc_subs,old_perc_subs,new_cat,old_cat
583,904240,A Guide To Trade Binary Options Like An Expert,https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/,True,55,4,0,21,All Levels,1.0,2016-07-18T21:48:10Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,7.0, 7/2016,48.0,219.99,131.99,40.0, 2020-07-09 13:54:19 ,220,1539.93,84,2.619047619047619,2.4694098814772317e-06,1.319314643656183e-05,2.8337490443181346e-07,4.090898119864133e-07,1,1
2253,219844,Aprende a tocar el clarinete.  ,https://www.udemy.com/aprende-a-tocar-el-clarinete-curso-en-video/,True,50,4,0,26,All Levels,3.0,2014-05-19T17:00:39Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,0.0,0.0,7.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:32:15 ,200,559.93,104,1.9230769230769231,2.7527847859090454e-06,1.4011326060534657e-05,2.8337490443181346e-07,4.090898119864133e-07,1,1
1021,1010988,Economics for beginners - Various Concepts,https://www.udemy.com/economics-forms-of-market-and-perfect-competition/,True,25,2,0,34,Beginner Level,2.5,2017-01-02T14:58:36Z,Business Finance,OK,0.0,0.0,0.0,1.0,0.0,1.0,7.0, 1/2017,42.0,79.99,47.99,40.0, 2020-07-09 14:09:28 ,50,559.93,68,0.7352941176470589,3.0361596903408587e-06,4.60226038484715e-06,2.8337490443181346e-07,2.0454490599320665e-07,1,1
2258,195196,Aprende a improvisar en la guitarra eléctrica,https://www.udemy.com/aprende-a-improvisar-en-la-guitarra-electrica/,True,50,3,0,19,All Levels,3.0,2014-05-05T21:59:45Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,0.0,0.0,8.0, 5/2014,74.0,199.99,119.99,40.0, 2020-07-09 15:32:27 ,150,1599.92,57,2.6315789473684212,3.360016723977217e-06,7.874978880738456e-06,3.2385703363635825e-07,3.0681735898981e-07,1,1
887,1058852,Learn to trade using technical analysis,https://www.udemy.com/learn-to-trade-using-technical-analysis/,True,50,0,0,6,Intermediate Level,0.5333333333333333,2017-05-02T13:15:53Z,Business Finance,OK,0.0,0.0,0.0,1.0,0.0,1.0,8.0, 1/2017,42.0,199.99,119.99,40.0, 2020-07-09 14:04:53 ,0,1599.92,0,8.333333333333334,3.6838737576135754e-06,0.0,3.2385703363635825e-07,0.0,1,1
1556,1125814,Mastering Text Animation in After Effect,https://www.udemy.com/master-text-animation-in-ae/,True,20,1,1,9,Intermediate Level,1.0,2017-02-26T19:49:26Z,Graphic Design,OK,1.0,0.0,1.0,0.0,0.0,2.0,8.0, 2/2017,41.0,79.99,47.99,40.0, 2020-07-09 14:41:06 ,20,639.92,9,2.2222222222222223,4.007730791249933e-06,1.4318143419524467e-06,3.2385703363635825e-07,1.0227245299660332e-07,1,1
615,1162656,Introduction to Bitcoin for Beginners,https://www.udemy.com/introduction-to-bitcoin-for-beginners/,True,20,2,1,7,Beginner Level,0.5666666666666667,2017-04-28T00:03:47Z,Business Finance,OK,0.0,0.0,1.0,1.0,0.0,2.0,8.0, 4/2017,39.0,79.99,47.99,40.0, 2020-07-09 13:55:32 ,40,639.92,14,2.857142857142857,4.331587824886292e-06,4.806805290840356e-06,3.2385703363635825e-07,2.0454490599320665e-07,1,1
520,759262,Decide whether to Invest in a Business ,https://www.udemy.com/decide-whether-to-invest-in-a-business/,True,20,1,0,43,Beginner Level,1.0,2016-02-15T17:33:49Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,8.0, 2/2016,53.0,79.99,47.99,40.0, 2020-07-09 13:52:10 ,20,639.92,43,0.46511627906976744,4.65544485852265e-06,9.2045207696943e-07,3.2385703363635825e-07,1.0227245299660332e-07,1,1
1327,1031648,تصميم القوالب الدائرية بالفيغاس | Circular Templates Vegas,https://www.udemy.com/circular-templates-vegas/,True,20,5,2,9,All Levels,0.6,2016-12-22T14:39:13Z,Graphic Design,OK,0.0,0.0,0.0,1.0,4.0,5.0,10.0, 12/2016,43.0,79.99,47.99,40.0, 2020-07-09 14:29:18 ,100,799.9,45,2.2222222222222223,5.060266150568098e-06,2.2602212112249336e-05,4.0482129204544784e-07,5.113622649830167e-07,1,1
2252,204014,Aprende a tocar el piano desde cero,https://www.udemy.com/aprende-a-tocar-el-piano-desde-cero/,True,50,4,0,16,All Levels,4.0,2014-04-30T16:15:20Z,Musical Instruments,OK,1.0,0.0,0.0,0.0,1.0,2.0,10.0, 4/2014,75.0,199.99,119.99,40.0, 2020-07-09 15:32:12 ,200,1999.9,64,3.125,5.465087442613545e-06,1.1556787188616176e-05,4.0482129204544784e-07,4.090898119864133e-07,1,1
578,673750,How to invest in Forex Trading & add an additional income,https://www.udemy.com/forex-truth-fundamentals-and-understanding/,True,50,8,2,14,All Levels,2.0,2015-11-21T20:47:58Z,Business Finance,OK,0.0,1.0,1.0,0.0,1.0,3.0,10.0, 2/2017,41.0,99.99,59.99,40.0, 2020-07-09 13:54:09 ,400,999.9,112,3.5714285714285716,5.869908734658993e-06,3.824989742072965e-05,4.0482129204544784e-07,8.181796239728266e-07,1,1
1554,406054,Photoshop: Real World Learning,https://www.udemy.com/photoshop-practical-training/,True,20,9,0,56,All Levels,5.0,2015-01-29T01:45:52Z,Graphic Design,OK,0.0,0.0,0.0,0.0,0.0,0.0,10.0, 1/2015,66.0,79.99,47.99,40.0, 2020-07-09 14:41:02 ,180,799.9,504,0.35714285714285715,6.274730026704441e-06,5.1238498951298267e-05,4.0482129204544784e-07,9.2045207696943e-07,1,1
2250,208126,Aprende a tocar los mejores solos en la guitarra eléctrica,https://www.udemy.com/aprende-a-tocar-los-mejores-solos-en-la-guitarra-electrica/,True,30,5,1,16,All Levels,2.0,2014-05-07T21:18:09Z,Musical Instruments,OK,1.0,0.0,0.0,0.0,1.0,2.0,10.0, 5/2014,74.0,119.99,71.99,40.0, 2020-07-09 15:32:08 ,150,1199.8999999999999,80,1.875,6.6795513187498895e-06,1.8511313992385203e-05,4.0482129204544784e-07,5.113622649830167e-07,1,1
523,533458,How to Obtain a Business Loan,https://www.udemy.com/how-to-obtain-a-business-loan/,True,20,1,1,12,All Levels,0.5666666666666667,2015-11-17T19:17:56Z,Business Finance,OK,0.0,1.0,1.0,0.0,0.0,2.0,11.0, 11/2015,56.0,79.99,47.99,40.0, 2020-07-09 13:52:17 ,20,879.89,12,1.6666666666666667,7.124854739999882e-06,2.3522664189218766e-06,4.4530342124999263e-07,1.0227245299660332e-07,1,1
1600,1075366,Adobe InDesign CC 2017 Quick Start,https://www.udemy.com/adobe-indesign-cc-2017-quick-start/,True,35,2,0,29,Beginner Level,2.5,2017-04-17T22:36:55Z,Graphic Design,OK,1.0,0.0,1.0,0.0,0.0,2.0,12.0, 4/2017,39.0,139.99,83.99,40.0, 2020-07-09 14:42:48 ,70,1679.88,58,1.206896551724138,7.6106402904544195e-06,3.5795358548811163e-06,4.857855504545374e-07,2.0454490599320665e-07,1,1
2360,809492,Drumming 101: The Essential Elements,https://www.udemy.com/drums-101/,True,50,4,0,17,Beginner Level,1.5,2017-05-02T13:26:22Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,1.0,1.0,12.0, 4/2017,39.0,199.99,119.99,40.0, 2020-07-09 15:36:18 ,200,2399.88,68,2.9411764705882355,8.096425840908956e-06,1.2784056624575415e-05,4.857855504545374e-07,4.090898119864133e-07,1,1
2466,211714,Aprende diferentes ritmos con la guitarra rítmica,https://www.udemy.com/curso-de-guitarra-electrica-guitarra-ritmica/,True,20,10,1,12,All Levels,1.0,2014-05-07T21:32:43Z,Musical Instruments,OK,1.0,0.0,0.0,0.0,0.0,1.0,12.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:44:30 ,200,959.8799999999999,120,1.6666666666666667,8.582211391363493e-06,5.788620839607748e-05,4.857855504545374e-07,1.0227245299660334e-06,1,1
1079,953432,Easy Finance For Startups,https://www.udemy.com/easy-finance-for-startups/,True,50,9,4,6,Beginner Level,0.6666666666666666,2016-10-16T21:15:15Z,Business Finance,OK,0.0,1.0,3.0,0.0,0.0,4.0,13.0, 10/2016,45.0,199.99,119.99,40.0, 2020-07-09 14:19:23 ,450,2599.87,54,8.333333333333334,9.108479071022576e-06,5.21589510282677e-05,5.262676796590822e-07,9.2045207696943e-07,1,1
513,513046,Learn The ABC's Of Investing And Understanding True Financial Value,https://www.udemy.com/investing-101-guide/,True,20,3,0,8,All Levels,1.5,2015-06-01T22:47:06Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,13.0, 0/0,,119.99,71.99,40.0, 2020-07-09 13:51:46 ,60,1559.87,24,2.5,9.634746750681659e-06,6.954526803769026e-06,5.262676796590822e-07,3.0681735898981e-07,1,1
2474,211026,Aprende a tocar Jazz y Ritmos Latinos en la guitarra,https://www.udemy.com/aprende-a-tocar-jazz-y-ritmos-latinos-en-la-guitarra/,True,50,6,0,17,All Levels,3.0,2014-05-07T22:15:04Z,Musical Instruments,OK,0.0,0.0,1.0,0.0,1.0,2.0,13.0, 5/2014,74.0,199.99,119.99,40.0, 2020-07-09 15:44:47 ,300,2599.87,102,2.9411764705882355,1.016101443034074e-05,2.7511289856086295e-05,5.262676796590822e-07,6.1363471797962e-07,1,1
1625,1133764,The Art of Logo Design : Everything You Need to Know,https://www.udemy.com/the-art-of-logo-design/,True,20,0,0,18,All Levels,1.0,2017-03-09T16:11:36Z,Graphic Design,OK,0.0,0.0,2.0,2.0,2.0,6.0,13.0, 3/2017,40.0,79.99,47.99,40.0, 2020-07-09 14:43:44 ,0,1039.87,0,1.1111111111111112,1.0687282109999823e-05,0.0,5.262676796590822e-07,0.0,1,1
2205,212492,Aprende a tocar blues en el piano y teclado,https://www.udemy.com/aprende-a-tocar-blues-en-el-piano-y-teclado/,True,50,10,4,22,All Levels,2.5,2014-05-09T19:52:20Z,Musical Instruments,OK,0.0,0.0,1.0,3.0,1.0,5.0,13.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:30:21 ,500,1039.87,220,2.272727272727273,1.1213549789658906e-05,6.504528010583971e-05,5.262676796590822e-07,1.0227245299660334e-06,1,1
2469,212438,Aprende todos los secretos de la salsa para piano,https://www.udemy.com/aprende-a-tocar-salsa-en-el-piano/,True,50,7,0,17,All Levels,3.0,2014-05-09T19:50:45Z,Musical Instruments,OK,0.0,0.0,0.0,1.0,1.0,2.0,14.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:44:35 ,350,1119.86,119,2.9411764705882355,1.1780299598522532e-05,3.1602187975950425e-05,5.667498088636269e-07,7.159071709762233e-07,1,1
2202,214794,Aprende a tocar ritmo pop en el piano y teclado,https://www.udemy.com/aprende-a-tocar-ritmo-pop-en-el-piano-y-teclado/,True,20,10,1,9,All Levels,0.7166666666666667,2014-05-16T17:03:56Z,Musical Instruments,OK,1.0,0.0,0.0,0.0,1.0,2.0,14.0, 5/2014,74.0,79.99,47.99,40.0, 2020-07-09 15:30:10 ,200,1119.86,90,2.2222222222222223,1.2347049407386159e-05,6.606800463580576e-05,5.667498088636269e-07,1.0227245299660334e-06,1,1
